zh-CN,zh-CN_en,fr,fr_en,de,de_en,iw,iw_en,it,it_en,ru,ru_en,es,es_en
大学,the university,l',the,all,alles,א,"A, aleph, 1",l',the,,,y,and
次,second-rate,n',not,na,well,ב,"B, beth, 2",dell',of the,,,se,"oneself, self"
稳定,stabilize,c',this,,,ר,"R, resh, 200",d',from,,,verdad,truth
例如,for example,faire,to do,,,שני,"two, second",all',to the,,,sé,know
动,move,comment,"how, what",,,מ,"M, mem, 40",nell',in the,,,puedo,can I
全市,citywide,concernant,concerning,,,י,"J, yodh, 10",bis,"encore, additional",,,puesto,"place, stall"
大学生,college students,telles,such,,,ז,"G, zayin, 7",,,,,tenido,had
联,united,sites,sites,,,ד,"D, daleth, 4",,,,,,
修改,revise,,,,,ת,"T, tav, 400",,,,,,
事故,accident,,,,,נ,"N, nun, 50",,,,,,
收费,toll,,,,,,,,,,,,
补充,replenish,,,,,,,,,,,,
